title,score,review,sentiment
What a sad waste of Eddie Murphy's great talents . . .,,"Oh dear, oh dear. Largely a perfect example of how NOT to make a Christmas movie!Effectively a diatribe on the wonder & magic of the Christmas spirit. No fun, no levity, and little delight to make it worthwhile viewing in any way.Fortunately a few elements make it as least likeable in parts. There are a few excellent one-liner jokes - so funny they actually made me laugh out loud. I like to think these particular scriptlines may be the result of the Saturday Night Live influence on the movie. So, kudos to the writing team for these winning quips. But other than that, the movie is a waste of 2 hours of the viewer's life.Such a pity. There are some past Christmas movies that really hit the mark, made by a variety of film stars over the decades. These all have their place in Hollywood history. So, for the great Eddie Murphy to bother to make one of his own, after decades of being in Hollywood, this film really should have been well put together. But it wasn't. If it had been edited and fine-tuned till it worked, the movie might have - well - worked!So, shame to see this opportunity so badly wasted.The premise is hardly new to film. Here in the UK a similar plot of neighbours competing over Christmas lights - and the moral of overdoing the in-fighting - was done to perfection by Robson Green & Mark Benton back in the Noughties. That was 'Christmas Lights' (2004). And numerous other offerings have done the same tale well enough in other countries and other decades.This film just ruins the plot concept. Everything in the movie is overdone: it's frenetic, unevenly paced, out of control, and predictably (and badly) scripted. Like many poorly made films it is either edited to too brief a runtime, or as in this case rambles on endlessly. The children are the usual stereotypes, ditto the wife, and the same with the neighbours. Not to mention Murphy's character as the dad & husband. There is no originality in the film where it is needed, and too much invention - to a chaotic level - just where it isn't required. And the longer the film goes on, the more convoluted it gets.There are parts that shouldn't have been put in, eg an anti-Christian 'joke' that goes widely off-mark. The barbed remark is frankly offensive to Christmas itself . . . The film is, after all, supposed to be a Christmas movie, and although Christmas covers far more than one thing for many people - family celebrations, the season before the warmth of spring, partying & togetherness, the end of the calendar year, pagan festivities of old, and a variety of other purposes - it also of course covers Christianity. I consider that 'joke' insulting to the very purpose of Christmas: both the Christ-related part and the more encompassing general spirit of kindness. It is gross . . . And unfunny.The film doesn't appear to have any clear purpose: it doesn't know what it wants to say, or how to say it. And there is too much of everything. Although the animation characters of the '12 Days' is new and clever, it seems not to fit in with the rest of the film. (Though in fact the rest of the film doesn't seem to fit into the rest of the film . . . !) The set of live-miniatures of Christmas Village characters - more animation - are amusing, but again do not seem to segue into the rest of the story. And one set of animation characters in this film would have sufficed.Then there is more confusion added to the mix: competing presenters of seasonal TV, teen troubles, an evil elf, current bosses to impress, 10 lords a-leaping turning up at school sports day, and yet more . . . All this needs to be digested by the viewer. Not to mention the task the family have to complete, of finding the gold rings before the clock chimes on Christmas Eve . . . Then 'Santa Claus' suddenly turns up, swooping in on a sleigh! Oh dear. Just because you CAN say or do something in a film, doesn't mean you should. Less is normally a case of more . . .There are a few excellent moments: when Murphy's character is appalled to see Valentine's Day goods on sale at the market at the same time as Christmas goodies. And a lovely disagreement amongst the Dickensian 'figurines' about the old argument as to whether 'Die Hard' is a Christmas movie. Lovely!But there are not enough laughs throughout the movie . . . And not enough cohesion in the storyline to even work out what this film is all about. Clarity is all-important in most film plots, but we don't see it here. Halfway through the film I still couldn't work out what exactly I was watching . . . (Harrumph!)No, for a good Christmas movie I shall continue to watch from the roster of great Hollywood & UK seasonal films. One of my favourite Christmas movies simply has to be Frank Capra's 'It's a Wonderful Life'. It covers the 'ups' & 'downs' parts of Christmas to perfection, and is as relevant today as it was decades ago.And for a good Murphy movie, I will delve back into his past greatness. There is plenty there to choose from. Need I mention, for example, the superlative 'Trading Places' . . .",positive
Don't waste your time,1.0,"If you like Eddie Murphy, don't waste your and his time. You won't see the real Eddie Murphy. Not because of him but because of the horrible script and direction of this wasteful and boring movie. Other actors and actresses are also big part of the camera (they were not supposed to steal at the camera for 65 times). So, watch any other good Christmas movie but didn't waste your time watching this. They picked the wrong kids, also. Eddie Murthy's wife was not so happy acting. Most boring Christmas movie ever. From 1 to 10, I would have given 0 , but the minimum is 1. So, this is a one star. ---",negative
Refreshing and New Story for the Christmas Season,9.0,"Every year we see the same Christmas movies that have done well in the past. They are vaunted each year with advertisements, and some even run 24/7 around the holidays (Christmas Story anyone?). But after a while, they get stale. I mean, how many times am I going to watch Elf before the magic disappears forever? And there are some movies I simply don't watch anymore, because of this. So it was a pleasant surprise to find Candy Cane Lane: it is fresh, new, funny, and heart-warming. Eddie Murphy was awesome of course, as were the other stars, and I look forward to seeing this one again next year. I can imagine that Candy Cane Lane will likely fall into the ""watch every year"" type that Miracle on 34th Street, Elf, Christmas With the Kranks, etc., etc. Are placed. But at least for now, this movie is different and new. I hope more stories like these continue to come out.",positive
Candy Cane Lane Is At Times Lame . . . .,6.0,"I'm surprised some reviewers thought this movie was vulgar. I thought it was the first movie I've seen in a long time, directed towards children, that did not have crude remarks and events. (Adam Sandler obviously had nothing to do with making it.) Yes, it does have some obscene words and a few inuendos, but nothing like most movies these days.The movie's main strength lies in the relationships between the very likable family members. Two of the three kids are teenagers wanting to do their own thing, while the parents, especially Dad, think they know what's best for them. Thankfully, there are no gender issues or other politically correct stuff stuffed into this film. A pleasant surprise for an Amazon movie!The kids are normal, the parents are normal, family life is normal, until it is not. There's lots of amusing lines and events in the film, but the humor is not that consistant. That's the biggest fault of the story. The evil elf is also neither funny nor scary most of the time. She is mostly irritating. The Christmas breakfast was an anticlimatic ending, too, and we really could have done without the ""lady mallard"".In fact, that poor duck, as well as having all the birds in the film as villians, made me take off a couple stars. The Santa in the movie was one of the fun parts, but the funniest line involving him was not in the film itself. When the credits run, watch out for scenes not in the story, the funniest one being what Eddie Murphy says to the Santa.",positive
Nick Offerman's English accent is an abomination. Clearly Eddie didn't want to make a Christmas movie somewhere cold. Doesn't work,2.0,"It's an OK holiday film. Far too long. Pretty funny, but not funny enough - and only as amusing as it is because of the cast.But Nick Offerman should be ashamed of himself for that abomination of an English accent. The worst example committed to celluloid since Dick Van Dyke in Mary Poppins. Americans won't care but for me, as soon as his character became more involved in the narrative - I had to bail. Just woeful. There is an abundance of excellent British comedy talent based in Los Angeles. Maybe utilise them rather than letting an A-lister with limited range 'have a go'? Cos he's not gonna land any of the British roles he's obviously fantasising about, and presumably why he lobbied for this role.Also, WHY is it set in Southern California?! My guess is that wasn't the original location in the script because it just doesn't work for a holiday movie. Like, at all. Clearly Murphy wanted to make another Christmas film - but didn't want to leave Los Angeles. So this is what we're dealt. It just doesn't work.Would have been a 5 for me for some decent comedy moments if it weren't for Offerman and the sunshine. Waste of time.Summary: Nick Offerman's English accent is an abomination. Clearly Eddie didn't want to make a Christmas movie somewhere cold. Doesn't work.",positive
Wish it was better,5.0,I wish it was better. The movie has a great look and a great leading cast with Eddie Murphy and Julian Bell. Unfortunately only Julian Bell was funny. I only laughed during her scenes.I think the issue was the story. It wasn't very good and it was boring. I really didn't care what the problem was or what Eddie Murphy was trying to accomplish. The live coverage of Candy Cane lane made no sense and the reporters were terrible actors. The news coverage came out of no where. The movie was a mix of a bunch of bad parts and recycled stories. If it's going to recycle a story it needs to be as good as the original or better. I don't ever want to see this movie again.,positive
CC no eye-catching,6.0,"A beautifully average Christmas movie with heart and compassion, but laced with too incomprehensible plots, too crowded of a cast, supporting cast and mumbo jumbo chickens and cows. Even Eddie Murphy is not himself here, seems lost, at times disinterested and grumpy in his heart, not showing his awesome funny smile and comedic capabilities (though the film screenplay nearly doesn't help with those either). Believe it or not, Jillian Bell (Pepper) had the best acting out there.The visuals are beautiful and at times stunning, but visuals get destroyed when the script and to some levels the acting + the score are not on par. That's not a goofy police procedural where you can walk gray-colored in brightly colored comedy photography and filming. Nevertheless, that's exactly what happened, uncompelling characters as a whole with so so acting (-50%) blended with a (+15%) score in a colorful filming environment (+75%) and the result is around 38% at best.That's what the director Reginald Hudlin needs to take into account in her next comedy project!Screenplay/storyline/plots: 5Development: 7.5Realism: 5.5Entertainment: 5.5Acting: 6Filming/photography/cinematography: 8VFX / CGI: 7.5Music/score/sound: 6Depth: 6Logic: 5Flow: 5.5Comedy/family/fantasy: 5.5Ending: 5.",positive
A slap in the face to Christians,1.0,"I was hoping for some Christmas magic from a family friendly (PG) film with a master comedian - Mr. Eddie Murphy. About 15 -20 minutes into the movie they visit a magic Christmas decorations store. The elf in charge wants to make sure the Eddie Murphy character knows the true meaning of Christmas. He responds with (my paraphrase) Giving, the heart of a child, and loving your neighbor (or something similar.) The elf doesn't respond and Eddie's character says: Or I can go the religious route? The elf responds, ""Jesus Christ, no."" Excuse me - isn't that the reason we have this holiday? I shut if off immediately. What a blatant slap in the face to millions of Christians in America! Hollywood has once again shown their true colors. Skip this one unless you're an atheist or of another religion.",positive
Could have been very good but its just bad. This is not the Christmas movie you are looking for.,3.0,"This has all the concepts to be a great Christmas movie but it seems to suffer from poor editing, bad acting and some terrible casting choices. Some scenes are not needed and some scenes are so stretched out you cant help but think ""Oh get on with it"". These scenes slow the whole movies flow & keep taking you out of the story. So many times in this movie I was actually bored. Some of the acting is the worst I have seen in a long time, worse than some straight to TV movies. In conclusion a decent idea & story ruined by too many boring talking scenes that someone felt needed to be left in the movie. & some awful casting choices. Best avoid this one & enjoy another Christmas movie instead.",negative
Absolute garbage.,1.0,"The only thing Christmas about this was basically nothing. This is more of an anti-christmas movie. So many good actors and their talent was wasted on a worthless script. The characters were not well developed at all and none were relatable. All of Eddie Murphy's talent and charisma were lost in a weak plot with more holes than swiss cheese. It felt like a patch quilt of activities stitched together in an almost random pattern to arrive to the end of the story. What a disappointment. We can all hope this goes straight to the bottom of the video pile and never again sees the light of day. Now go see something better (basically anything, at this point).",positive
This movie is the WORST!,1.0,This movie is so bad that halfway through I just could not watch it any more. It is the equivalent to pouring acid into my eyes like eyedrops. I can not recommend this movie under any circumstances. Watching paint dry is more entertaining than this. The characters in this film are so basic its sad and it has the weirdest plot ever. This movie is a disgrace to christmas and movies everywhere. This movie is just about collecting rings and the little christmas dolls are so weird. I Would not under any circumstances watch this. Stay far away from this film. No matter how board you may be DO NOT WATCH THIS TERRIBLE MOVIE.,negative
What a real let down Xmas movie,3.0,"Who is tracee Lee who plays Eddie Murphys wife? Can't even act, in fact all the characters in this film need to go back to acting school. Trying way too hard to please. I had high expectations but its a real letdown xmas film, maybe because of the there's no Xmas feel to it, I wouldn't say it's boring but I had several conversations with hubby whilst watching this because it had yawn moments. I love Eddie Murphy films but this was a real let down please don't do anymore with tracee Lee. The best parts were watching the Xmas houses light up. Please please can we have simple Xmas movies with simple actors not trying too hard to try and be funny when they're not.",positive
Total Disappointment!,1.0,"Wow, where to begin. Even though I am a long time Eddie Murphy fan, sadly not even he could carry this movie. The story was long, boring & lacking in any character or storyline development to draw the audience in to connect with the characters. The interaction between actors felt forced with no emotional development with an emphasis more on satisfying identity politics than on choosing the best actor for the role. The dialogue felt forced, lazy & was often loud, vulgar & superficial. There was also a point in the movie that was outright bigoted towards Christians demonstrating Hollywood's disdain towards those with religious beliefs. Sadly, the humor was totally absent with not one scene where I found myself laughing out loud. I have no idea what Eddie Murphy was thinking when he took this role. I struggled to make it through to the end finding myself wishing that the movie would just end already. It's as if they just threw this movie together hoping that Eddie Murphy's presence would be enough to win over the audience. Sadly, this is not the case. Hollywood has gotten lazy with total lack of creativity. Don't waste your time on this mess. Better to break out the classics.",positive
